ID,Issues Detected,Function Name,Demangled Name,Process,Device Name,Grid Size,Block Size,Cycles [cycle],Duration [msecond],Compute Throughput [%],Memory Throughput [%],# Registers [register/thread]
358,8,vectorized_elementwise_kernel,"void at::native::vectorized_elementwise_kernel<(int)4, void at::native::threshold_kernel_impl<float>(at::TensorIterator &, T1, T1)::[lambda(float, float) (instance 1)], at::detail::Array<char *, (int)3>>(int, T2, T3)",[32248] python3.8,NVIDIA GeForce RTX 2080 Ti," 3136,    1,    1","   64,    1,    1","11,292",0.01,6.63,65.63,20
359,12,computeOffsetsKernel,cask_cudnn::computeOffsetsKernel(cask_cudnn::ComputeOffsetsParams),[32248] python3.8,NVIDIA GeForce RTX 2080 Ti,"    1,    1,    1","  256,    1,    1","4,126",0.00,0.18,1.24,38
360,11,volta_scudnn_128x32_relu_small_nn_v1,volta_scudnn_128x32_relu_small_nn_v1,[32248] python3.8,NVIDIA GeForce RTX 2080 Ti,"   49,    1,    1","   64,    1,    1","249,935",0.18,21.37,12.27,128
361,7,CatArrayBatchedCopy,"void at::native::<unnamed>::CatArrayBatchedCopy<float, unsigned int, (int)4, (int)128, (int)1>(T1 *, at::native::<unnamed>::CatArrInputTensorMetadata<T1, T2, T4, T5>, at::native::<unnamed>::TensorSizeStride<T2, (unsigned int)4>, int, T2)",[32248] python3.8,NVIDIA GeForce RTX 2080 Ti,"  108,   11,    1","  512,    1,    1","80,021",0.06,30.09,68.31,33
362,11,vectorized_elementwise_kernel,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::BUnaryFunctor<at::native::AddFunctor<long>>, at::detail::Array<char *, (int)2>>(int, T2, T3)",[32248] python3.8,NVIDIA GeForce RTX 2080 Ti,"    1,    1,    1","   64,    1,    1","3,093",0.00,0.01,0.85,20
363,13,bn_fw_tr_1C11_singleread,"void cudnn::bn_fw_tr_1C11_singleread<float, (int)512, (bool)1, (int)1, (int)2, (int)0>(cudnnTensorStruct, const T1 *, cudnnTensorStruct, T1 *, const float *, const float *, float, float, float *, float *, float *, float *, float, float, cudnn::reduced_divisor, int, cudnn::reduced_divisor, cudnn::bnFwPersistentState *, int, float, float, float, int, float, float, cudnnStatus_t *, bool)",[32248] python3.8,NVIDIA GeForce RTX 2080 Ti,"  576,    1,    1","  512,    1,    1","97,054",0.07,23.93,56.43,38
364,7,vectorized_elementwise_kernel,"void at::native::vectorized_elementwise_kernel<(int)4, void at::native::threshold_kernel_impl<float>(at::TensorIterator &, T1, T1)::[lambda(float, float) (instance 1)], at::detail::Array<char *, (int)3>>(int, T2, T3)",[32248] python3.8,NVIDIA GeForce RTX 2080 Ti,"14112,    1,    1","   64,    1,    1","66,133",0.05,5.06,82.41,20
365,11,computeOffsetsKernel,cask_cudnn::computeOffsetsKernel(cask_cudnn::ComputeOffsetsParams),[32248] python3.8,NVIDIA GeForce RTX 2080 Ti,"    1,    1,    1","  256,    1,    1","3,750",0.00,0.16,0.32,38
366,11,volta_scudnn_128x64_relu_interior_nn_v1,volta_scudnn_128x64_relu_interior_nn_v1,[32248] python3.8,NVIDIA GeForce RTX 2080 Ti,"   49,    2,    1","  128,    1,    1","178,273",0.13,60.29,28.49,128
367,11,vectorized_elementwise_kernel,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::BUnaryFunctor<at::native::AddFunctor<long>>, at::detail::Array<char *, (int)2>>(int, T2, T3)",[32248] python3.8,NVIDIA GeForce RTX 2080 Ti,"    1,    1,    1","   64,    1,    1","3,093",0.00,0.01,0.34,20
368,13,bn_fw_tr_1C11_singleread,"void cudnn::bn_fw_tr_1C11_singleread<float, (int)512, (bool)1, (int)1, (int)2, (int)0>(cudnnTensorStruct, const T1 *, cudnnTensorStruct, T1 *, const float *, const float *, float, float, float *, float *, float *, float *, float, float, cudnn::reduced_divisor, int, cudnn::reduced_divisor, cudnn::bnFwPersistentState *, int, float, float, float, int, float, float, cudnnStatus_t *, bool)",[32248] python3.8,NVIDIA GeForce RTX 2080 Ti,"  128,    1,    1","  512,    1,    1","24,791",0.02,20.90,31.59,38
369,8,vectorized_elementwise_kernel,"void at::native::vectorized_elementwise_kernel<(int)4, void at::native::threshold_kernel_impl<float>(at::TensorIterator &, T1, T1)::[lambda(float, float) (instance 1)], at::detail::Array<char *, (int)3>>(int, T2, T3)",[32248] python3.8,NVIDIA GeForce RTX 2080 Ti," 3136,    1,    1","   64,    1,    1","18,305",0.01,4.06,40.86,20
370,12,computeOffsetsKernel,cask_cudnn::computeOffsetsKernel(cask_cudnn::ComputeOffsetsParams),[32248] python3.8,NVIDIA GeForce RTX 2080 Ti,"    1,    1,    1","  256,    1,    1","4,156",0.00,0.18,0.53,38
371,11,volta_scudnn_128x32_relu_small_nn_v1,volta_scudnn_128x32_relu_small_nn_v1,[32248] python3.8,NVIDIA GeForce RTX 2080 Ti,"   49,    1,    1","   64,    1,    1","249,675",0.18,21.39,12.28,128
372,7,CatArrayBatchedCopy,"void at::native::<unnamed>::CatArrayBatchedCopy<float, unsigned int, (int)4, (int)128, (int)1>(T1 *, at::native::<unnamed>::CatArrInputTensorMetadata<T1, T2, T4, T5>, at::native::<unnamed>::TensorSizeStride<T2, (unsigned int)4>, int, T2)",[32248] python3.8,NVIDIA GeForce RTX 2080 Ti,"  108,   12,    1","  512,    1,    1","84,554",0.07,30.22,68.72,33
373,11,vectorized_elementwise_kernel,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::BUnaryFunctor<at::native::AddFunctor<long>>, at::detail::Array<char *, (int)2>>(int, T2, T3)",[32248] python3.8,NVIDIA GeForce RTX 2080 Ti,"    1,    1,    1","   64,    1,    1","3,093",0.00,0.01,0.35,20
374,13,bn_fw_tr_1C11_singleread,"void cudnn::bn_fw_tr_1C11_singleread<float, (int)512, (bool)1, (int)1, (int)2, (int)0>(cudnnTensorStruct, const T1 *, cudnnTensorStruct, T1 *, const float *, const float *, float, float, float *, float *, float *, float *, float, float, cudnn::reduced_divisor, int, cudnn::reduced_divisor, cudnn::bnFwPersistentState *, int, float, float, float, int, float, float, cudnnStatus_t *, bool)",[32248] python3.8,NVIDIA GeForce RTX 2080 Ti,"  608,    1,    1","  512,    1,    1","105,985",0.08,23.09,54.82,38
375,7,vectorized_elementwise_kernel,"void at::native::vectorized_elementwise_kernel<(int)4, void at::native::threshold_kernel_impl<float>(at::TensorIterator &, T1, T1)::[lambda(float, float) (instance 1)], at::detail::Array<char *, (int)3>>(int, T2, T3)",[32248] python3.8,NVIDIA GeForce RTX 2080 Ti,"14896,    1,    1","   64,    1,    1","70,014",0.05,5.04,82.65,20
376,11,computeOffsetsKernel,cask_cudnn::computeOffsetsKernel(cask_cudnn::ComputeOffsetsParams),[32248] python3.8,NVIDIA GeForce RTX 2080 Ti,"    1,    1,    1","  256,    1,    1","3,751",0.00,0.16,1.53,38
377,11,volta_scudnn_128x64_relu_interior_nn_v1,volta_scudnn_128x64_relu_interior_nn_v1,[32248] python3.8,NVIDIA GeForce RTX 2080 Ti,"   49,    2,    1","  128,    1,    1","187,436",0.14,60.52,31.55,128
378,11,vectorized_elementwise_kernel,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::BUnaryFunctor<at::native::AddFunctor<long>>, at::detail::Array<char *, (int)2>>(int, T2, T3)",[32248] python3.8,NVIDIA GeForce RTX 2080 Ti,"    1,    1,    1","   64,    1,    1","3,087",0.00,0.01,0.35,20
379,13,bn_fw_tr_1C11_singleread,"void cudnn::bn_fw_tr_1C11_singleread<float, (int)512, (bool)1, (int)1, (int)2, (int)0>(cudnnTensorStruct, const T1 *, cudnnTensorStruct, T1 *, const float *, const float *, float, float, float *, float *, float *, float *, float, float, cudnn::reduced_divisor, int, cudnn::reduced_divisor, cudnn::bnFwPersistentState *, int, float, float, float, int, float, float, cudnnStatus_t *, bool)",[32248] python3.8,NVIDIA GeForce RTX 2080 Ti,"  128,    1,    1","  512,    1,    1","24,257",0.02,21.37,32.17,38
380,8,vectorized_elementwise_kernel,"void at::native::vectorized_elementwise_kernel<(int)4, void at::native::threshold_kernel_impl<float>(at::TensorIterator &, T1, T1)::[lambda(float, float) (instance 1)], at::detail::Array<char *, (int)3>>(int, T2, T3)",[32248] python3.8,NVIDIA GeForce RTX 2080 Ti," 3136,    1,    1","   64,    1,    1","11,386",0.01,6.58,65.32,20
381,12,computeOffsetsKernel,cask_cudnn::computeOffsetsKernel(cask_cudnn::ComputeOffsetsParams),[32248] python3.8,NVIDIA GeForce RTX 2080 Ti,"    1,    1,    1","  256,    1,    1","4,121",0.00,0.18,1.24,38
382,11,volta_scudnn_128x32_relu_small_nn_v1,volta_scudnn_128x32_relu_small_nn_v1,[32248] python3.8,NVIDIA GeForce RTX 2080 Ti,"   49,    1,    1","   64,    1,    1","250,038",0.18,21.36,12.27,128
383,7,CatArrayBatchedCopy,"void at::native::<unnamed>::CatArrayBatchedCopy<float, unsigned int, (int)4, (int)128, (int)1>(T1 *, at::native::<unnamed>::CatArrInputTensorMetadata<T1, T2, T4, T5>, at::native::<unnamed>::TensorSizeStride<T2, (unsigned int)4>, int, T2)",[32248] python3.8,NVIDIA GeForce RTX 2080 Ti,"  108,   13,    1","  512,    1,    1","95,375",0.07,28.32,64.57,33
384,11,vectorized_elementwise_kernel,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::BUnaryFunctor<at::native::AddFunctor<long>>, at::detail::Array<char *, (int)2>>(int, T2, T3)",[32248] python3.8,NVIDIA GeForce RTX 2080 Ti,"    1,    1,    1","   64,    1,    1","3,085",0.00,0.01,0.34,20
385,13,bn_fw_tr_1C11_singleread,"void cudnn::bn_fw_tr_1C11_singleread<float, (int)512, (bool)1, (int)1, (int)2, (int)0>(cudnnTensorStruct, const T1 *, cudnnTensorStruct, T1 *, const float *, const float *, float, float, float *, float *, float *, float *, float, float, cudnn::reduced_divisor, int, cudnn::reduced_divisor, cudnn::bnFwPersistentState *, int, float, float, float, int, float, float, cudnnStatus_t *, bool)",[32248] python3.8,NVIDIA GeForce RTX 2080 Ti,"  640,    1,    1","  512,    1,    1","101,954",0.08,25.30,60.19,38
386,7,vectorized_elementwise_kernel,"void at::native::vectorized_elementwise_kernel<(int)4, void at::native::threshold_kernel_impl<float>(at::TensorIterator &, T1, T1)::[lambda(float, float) (instance 1)], at::detail::Array<char *, (int)3>>(int, T2, T3)",[32248] python3.8,NVIDIA GeForce RTX 2080 Ti,"15680,    1,    1","   64,    1,    1","74,337",0.06,4.99,82.35,20
387,11,computeOffsetsKernel,cask_cudnn::computeOffsetsKernel(cask_cudnn::ComputeOffsetsParams),[32248] python3.8,NVIDIA GeForce RTX 2080 Ti,"    1,    1,    1","  256,    1,    1","3,727",0.00,0.16,0.32,38
388,11,volta_scudnn_128x64_relu_interior_nn_v1,volta_scudnn_128x64_relu_interior_nn_v1,[32248] python3.8,NVIDIA GeForce RTX 2080 Ti,"   49,    2,    1","  128,    1,    1","197,362",0.14,60.50,29.56,128
389,11,vectorized_elementwise_kernel,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::BUnaryFunctor<at::native::AddFunctor<long>>, at::detail::Array<char *, (int)2>>(int, T2, T3)",[32248] python3.8,NVIDIA GeForce RTX 2080 Ti,"    1,    1,    1","   64,    1,    1","3,159",0.00,0.01,0.86,20
390,13,bn_fw_tr_1C11_singleread,"void cudnn::bn_fw_tr_1C11_singleread<float, (int)512, (bool)1, (int)1, (int)2, (int)0>(cudnnTensorStruct, const T1 *, cudnnTensorStruct, T1 *, const float *, const float *, float, float, float *, float *, float *, float *, float, float, cudnn::reduced_divisor, int, cudnn::reduced_divisor, cudnn::bnFwPersistentState *, int, float, float, float, int, float, float, cudnnStatus_t *, bool)",[32248] python3.8,NVIDIA GeForce RTX 2080 Ti,"  128,    1,    1","  512,    1,    1","24,275",0.02,21.36,32.27,38
391,8,vectorized_elementwise_kernel,"void at::native::vectorized_elementwise_kernel<(int)4, void at::native::threshold_kernel_impl<float>(at::TensorIterator &, T1, T1)::[lambda(float, float) (instance 1)], at::detail::Array<char *, (int)3>>(int, T2, T3)",[32248] python3.8,NVIDIA GeForce RTX 2080 Ti," 3136,    1,    1","   64,    1,    1","11,485",0.01,6.52,109.37,20
392,12,computeOffsetsKernel,cask_cudnn::computeOffsetsKernel(cask_cudnn::ComputeOffsetsParams),[32248] python3.8,NVIDIA GeForce RTX 2080 Ti,"    1,    1,    1","  256,    1,    1","4,103",0.00,0.18,0.29,38
393,11,volta_scudnn_128x32_relu_small_nn_v1,volta_scudnn_128x32_relu_small_nn_v1,[32248] python3.8,NVIDIA GeForce RTX 2080 Ti,"   49,    1,    1","   64,    1,    1","249,510",0.19,21.40,12.29,128
394,7,CatArrayBatchedCopy,"void at::native::<unnamed>::CatArrayBatchedCopy<float, unsigned int, (int)4, (int)128, (int)1>(T1 *, at::native::<unnamed>::CatArrInputTensorMetadata<T1, T2, T4, T5>, at::native::<unnamed>::TensorSizeStride<T2, (unsigned int)4>, int, T2)",[32248] python3.8,NVIDIA GeForce RTX 2080 Ti,"  108,   14,    1","  512,    1,    1","93,866",0.07,30.36,74.65,33
395,11,vectorized_elementwise_kernel,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::BUnaryFunctor<at::native::AddFunctor<long>>, at::detail::Array<char *, (int)2>>(int, T2, T3)",[32248] python3.8,NVIDIA GeForce RTX 2080 Ti,"    1,    1,    1","   64,    1,    1","3,103",0.00,0.01,0.34,20
396,13,bn_fw_tr_1C11_singleread,"void cudnn::bn_fw_tr_1C11_singleread<float, (int)512, (bool)1, (int)1, (int)2, (int)0>(cudnnTensorStruct, const T1 *, cudnnTensorStruct, T1 *, const float *, const float *, float, float, float *, float *, float *, float *, float, float, cudnn::reduced_divisor, int, cudnn::reduced_divisor, cudnn::bnFwPersistentState *, int, float, float, float, int, float, float, cudnnStatus_t *, bool)",[32248] python3.8,NVIDIA GeForce RTX 2080 Ti,"  672,    1,    1","  512,    1,    1","113,467",0.08,23.86,61.74,38
397,7,vectorized_elementwise_kernel,"void at::native::vectorized_elementwise_kernel<(int)4, void at::native::threshold_kernel_impl<float>(at::TensorIterator &, T1, T1)::[lambda(float, float) (instance 1)], at::detail::Array<char *, (int)3>>(int, T2, T3)",[32248] python3.8,NVIDIA GeForce RTX 2080 Ti,"16464,    1,    1","   64,    1,    1","86,770",0.06,4.48,74.49,20
398,11,computeOffsetsKernel,cask_cudnn::computeOffsetsKernel(cask_cudnn::ComputeOffsetsParams),[32248] python3.8,NVIDIA GeForce RTX 2080 Ti,"    1,    1,    1","  256,    1,    1","3,737",0.00,0.16,0.32,38
399,11,volta_scudnn_128x64_relu_interior_nn_v1,volta_scudnn_128x64_relu_interior_nn_v1,[32248] python3.8,NVIDIA GeForce RTX 2080 Ti,"   49,    2,    1","  128,    1,    1","205,251",0.15,61.03,30.45,128
400,11,vectorized_elementwise_kernel,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::BUnaryFunctor<at::native::AddFunctor<long>>, at::detail::Array<char *, (int)2>>(int, T2, T3)",[32248] python3.8,NVIDIA GeForce RTX 2080 Ti,"    1,    1,    1","   64,    1,    1","3,106",0.00,0.01,0.45,20
401,13,bn_fw_tr_1C11_singleread,"void cudnn::bn_fw_tr_1C11_singleread<float, (int)512, (bool)1, (int)1, (int)2, (int)0>(cudnnTensorStruct, const T1 *, cudnnTensorStruct, T1 *, const float *, const float *, float, float, float *, float *, float *, float *, float, float, cudnn::reduced_divisor, int, cudnn::reduced_divisor, cudnn::bnFwPersistentState *, int, float, float, float, int, float, float, cudnnStatus_t *, bool)",[32248] python3.8,NVIDIA GeForce RTX 2080 Ti,"  128,    1,    1","  512,    1,    1","24,710",0.02,20.99,31.71,38
402,8,vectorized_elementwise_kernel,"void at::native::vectorized_elementwise_kernel<(int)4, void at::native::threshold_kernel_impl<float>(at::TensorIterator &, T1, T1)::[lambda(float, float) (instance 1)], at::detail::Array<char *, (int)3>>(int, T2, T3)",[32248] python3.8,NVIDIA GeForce RTX 2080 Ti," 3136,    1,    1","   64,    1,    1","11,306",0.01,6.63,65.61,20
403,12,computeOffsetsKernel,cask_cudnn::computeOffsetsKernel(cask_cudnn::ComputeOffsetsParams),[32248] python3.8,NVIDIA GeForce RTX 2080 Ti,"    1,    1,    1","  256,    1,    1","4,128",0.00,0.18,0.28,38
404,11,volta_scudnn_128x32_relu_small_nn_v1,volta_scudnn_128x32_relu_small_nn_v1,[32248] python3.8,NVIDIA GeForce RTX 2080 Ti,"   49,    1,    1","   64,    1,    1","250,790",0.18,21.29,12.23,128
405,7,CatArrayBatchedCopy,"void at::native::<unnamed>::CatArrayBatchedCopy<float, unsigned int, (int)4, (int)128, (int)1>(T1 *, at::native::<unnamed>::CatArrInputTensorMetadata<T1, T2, T4, T5>, at::native::<unnamed>::TensorSizeStride<T2, (unsigned int)4>, int, T2)",[32248] python3.8,NVIDIA GeForce RTX 2080 Ti,"  108,   15,    1","  512,    1,    1","99,066",0.08,30.26,74.18,33
406,11,vectorized_elementwise_kernel,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::BUnaryFunctor<at::native::AddFunctor<long>>, at::detail::Array<char *, (int)2>>(int, T2, T3)",[32248] python3.8,NVIDIA GeForce RTX 2080 Ti,"    1,    1,    1","   64,    1,    1","3,079",0.00,0.01,0.35,20
407,13,bn_fw_tr_1C11_singleread,"void cudnn::bn_fw_tr_1C11_singleread<float, (int)512, (bool)1, (int)1, (int)2, (int)0>(cudnnTensorStruct, const T1 *, cudnnTensorStruct, T1 *, const float *, const float *, float, float, float *, float *, float *, float *, float, float, cudnn::reduced_divisor, int, cudnn::reduced_divisor, cudnn::bnFwPersistentState *, int, float, float, float, int, float, float, cudnnStatus_t *, bool)",[32248] python3.8,NVIDIA GeForce RTX 2080 Ti,"  704,    1,    1","  512,    1,    1","116,592",0.09,24.32,58.97,38
408,7,vectorized_elementwise_kernel,"void at::native::vectorized_elementwise_kernel<(int)4, void at::native::threshold_kernel_impl<float>(at::TensorIterator &, T1, T1)::[lambda(float, float) (instance 1)], at::detail::Array<char *, (int)3>>(int, T2, T3)",[32248] python3.8,NVIDIA GeForce RTX 2080 Ti,"17248,    1,    1","   64,    1,    1","81,941",0.07,4.98,82.87,20
409,11,computeOffsetsKernel,cask_cudnn::computeOffsetsKernel(cask_cudnn::ComputeOffsetsParams),[32248] python3.8,NVIDIA GeForce RTX 2080 Ti,"    1,    1,    1","  256,    1,    1","3,758",0.00,0.16,0.32,38
410,11,volta_scudnn_128x64_relu_interior_nn_v1,volta_scudnn_128x64_relu_interior_nn_v1,[32248] python3.8,NVIDIA GeForce RTX 2080 Ti,"   49,    2,    1","  128,    1,    1","215,354",0.16,60.96,30.83,128
411,11,vectorized_elementwise_kernel,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::BUnaryFunctor<at::native::AddFunctor<long>>, at::detail::Array<char *, (int)2>>(int, T2, T3)",[32248] python3.8,NVIDIA GeForce RTX 2080 Ti,"    1,    1,    1","   64,    1,    1","3,077",0.00,0.01,0.35,20
412,13,bn_fw_tr_1C11_singleread,"void cudnn::bn_fw_tr_1C11_singleread<float, (int)512, (bool)1, (int)1, (int)2, (int)0>(cudnnTensorStruct, const T1 *, cudnnTensorStruct, T1 *, const float *, const float *, float, float, float *, float *, float *, float *, float, float, cudnn::reduced_divisor, int, cudnn::reduced_divisor, cudnn::bnFwPersistentState *, int, float, float, float, int, float, float, cudnnStatus_t *, bool)",[32248] python3.8,NVIDIA GeForce RTX 2080 Ti,"  128,    1,    1","  512,    1,    1","24,343",0.02,21.31,32.10,38
413,8,vectorized_elementwise_kernel,"void at::native::vectorized_elementwise_kernel<(int)4, void at::native::threshold_kernel_impl<float>(at::TensorIterator &, T1, T1)::[lambda(float, float) (instance 1)], at::detail::Array<char *, (int)3>>(int, T2, T3)",[32248] python3.8,NVIDIA GeForce RTX 2080 Ti," 3136,    1,    1","   64,    1,    1","18,412",0.01,4.04,40.62,20
414,12,computeOffsetsKernel,cask_cudnn::computeOffsetsKernel(cask_cudnn::ComputeOffsetsParams),[32248] python3.8,NVIDIA GeForce RTX 2080 Ti,"    1,    1,    1","  256,    1,    1","4,122",0.00,0.18,0.29,38
415,11,volta_scudnn_128x32_relu_small_nn_v1,volta_scudnn_128x32_relu_small_nn_v1,[32248] python3.8,NVIDIA GeForce RTX 2080 Ti,"   49,    1,    1","   64,    1,    1","249,382",0.19,21.41,12.30,128
416,7,CatArrayBatchedCopy,"void at::native::<unnamed>::CatArrayBatchedCopy<float, unsigned int, (int)4, (int)128, (int)1>(T1 *, at::native::<unnamed>::CatArrInputTensorMetadata<T1, T2, T4, T5>, at::native::<unnamed>::TensorSizeStride<T2, (unsigned int)4>, int, T2)",[32248] python3.8,NVIDIA GeForce RTX 2080 Ti,"  108,   16,    1","  512,    1,    1","111,072",0.08,28.29,64.53,33
417,11,vectorized_elementwise_kernel,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::BUnaryFunctor<at::native::AddFunctor<long>>, at::detail::Array<char *, (int)2>>(int, T2, T3)",[32248] python3.8,NVIDIA GeForce RTX 2080 Ti,"    1,    1,    1","   64,    1,    1","3,106",0.00,0.01,0.35,20
418,13,bn_fw_tr_1C11_singleread,"void cudnn::bn_fw_tr_1C11_singleread<float, (int)512, (bool)1, (int)1, (int)2, (int)0>(cudnnTensorStruct, const T1 *, cudnnTensorStruct, T1 *, const float *, const float *, float, float, float *, float *, float *, float *, float, float, cudnn::reduced_divisor, int, cudnn::reduced_divisor, cudnn::bnFwPersistentState *, int, float, float, float, int, float, float, cudnnStatus_t *, bool)",[32248] python3.8,NVIDIA GeForce RTX 2080 Ti,"  736,    1,    1","  512,    1,    1","120,988",0.09,24.50,63.36,38
419,7,vectorized_elementwise_kernel,"void at::native::vectorized_elementwise_kernel<(int)4, void at::native::threshold_kernel_impl<float>(at::TensorIterator &, T1, T1)::[lambda(float, float) (instance 1)], at::detail::Array<char *, (int)3>>(int, T2, T3)",[32248] python3.8,NVIDIA GeForce RTX 2080 Ti,"18032,    1,    1","   64,    1,    1","93,979",0.07,4.53,75.86,20
420,11,computeOffsetsKernel,cask_cudnn::computeOffsetsKernel(cask_cudnn::ComputeOffsetsParams),[32248] python3.8,NVIDIA GeForce RTX 2080 Ti,"    1,    1,    1","  256,    1,    1","3,754",0.00,0.16,0.31,38
421,11,volta_scudnn_128x64_relu_interior_nn_v1,volta_scudnn_128x64_relu_interior_nn_v1,[32248] python3.8,NVIDIA GeForce RTX 2080 Ti,"   49,    2,    1","  128,    1,    1","223,283",0.17,61.41,32.87,128
422,11,vectorized_elementwise_kernel,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::BUnaryFunctor<at::native::AddFunctor<long>>, at::detail::Array<char *, (int)2>>(int, T2, T3)",[32248] python3.8,NVIDIA GeForce RTX 2080 Ti,"    1,    1,    1","   64,    1,    1","4,963",0.00,0.00,0.22,20
423,13,bn_fw_tr_1C11_singleread,"void cudnn::bn_fw_tr_1C11_singleread<float, (int)512, (bool)1, (int)1, (int)2, (int)0>(cudnnTensorStruct, const T1 *, cudnnTensorStruct, T1 *, const float *, const float *, float, float, float *, float *, float *, float *, float, float, cudnn::reduced_divisor, int, cudnn::reduced_divisor, cudnn::bnFwPersistentState *, int, float, float, float, int, float, float, cudnnStatus_t *, bool)",[32248] python3.8,NVIDIA GeForce RTX 2080 Ti,"  128,    1,    1","  512,    1,    1","24,089",0.02,21.52,32.38,38
424,8,vectorized_elementwise_kernel,"void at::native::vectorized_elementwise_kernel<(int)4, void at::native::threshold_kernel_impl<float>(at::TensorIterator &, T1, T1)::[lambda(float, float) (instance 1)], at::detail::Array<char *, (int)3>>(int, T2, T3)",[32248] python3.8,NVIDIA GeForce RTX 2080 Ti," 3136,    1,    1","   64,    1,    1","18,150",0.01,4.10,41.24,20
425,12,computeOffsetsKernel,cask_cudnn::computeOffsetsKernel(cask_cudnn::ComputeOffsetsParams),[32248] python3.8,NVIDIA GeForce RTX 2080 Ti,"    1,    1,    1","  256,    1,    1","4,103",0.00,0.18,0.29,38
426,11,volta_scudnn_128x32_relu_small_nn_v1,volta_scudnn_128x32_relu_small_nn_v1,[32248] python3.8,NVIDIA GeForce RTX 2080 Ti,"   49,    1,    1","   64,    1,    1","250,911",0.18,21.28,12.22,128
427,7,CatArrayBatchedCopy,"void at::native::<unnamed>::CatArrayBatchedCopy<float, unsigned int, (int)4, (int)128, (int)1>(T1 *, at::native::<unnamed>::CatArrInputTensorMetadata<T1, T2, T4, T5>, at::native::<unnamed>::TensorSizeStride<T2, (unsigned int)4>, int, T2)",[32248] python3.8,NVIDIA GeForce RTX 2080 Ti,"  108,   17,    1","  512,    1,    1","108,711",0.08,30.25,68.98,33
428,11,vectorized_elementwise_kernel,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::BUnaryFunctor<at::native::AddFunctor<long>>, at::detail::Array<char *, (int)2>>(int, T2, T3)",[32248] python3.8,NVIDIA GeForce RTX 2080 Ti,"    1,    1,    1","   64,    1,    1","3,203",0.00,0.01,0.33,20
429,13,bn_fw_tr_1C11_singleread,"void cudnn::bn_fw_tr_1C11_singleread<float, (int)512, (bool)1, (int)1, (int)2, (int)0>(cudnnTensorStruct, const T1 *, cudnnTensorStruct, T1 *, const float *, const float *, float, float, float *, float *, float *, float *, float, float, cudnn::reduced_divisor, int, cudnn::reduced_divisor, cudnn::bnFwPersistentState *, int, float, float, float, int, float, float, cudnnStatus_t *, bool)",[32248] python3.8,NVIDIA GeForce RTX 2080 Ti,"  768,    1,    1","  512,    1,    1","130,356",0.10,23.71,57.42,38
430,7,vectorized_elementwise_kernel,"void at::native::vectorized_elementwise_kernel<(int)4, void at::native::threshold_kernel_impl<float>(at::TensorIterator &, T1, T1)::[lambda(float, float) (instance 1)], at::detail::Array<char *, (int)3>>(int, T2, T3)",[32248] python3.8,NVIDIA GeForce RTX 2080 Ti,"18816,    1,    1","   64,    1,    1","90,040",0.07,4.94,82.96,20
431,11,computeOffsetsKernel,cask_cudnn::computeOffsetsKernel(cask_cudnn::ComputeOffsetsParams),[32248] python3.8,NVIDIA GeForce RTX 2080 Ti,"    1,    1,    1","  256,    1,    1","3,754",0.00,0.16,0.32,38
432,11,volta_scudnn_128x64_relu_interior_nn_v1,volta_scudnn_128x64_relu_interior_nn_v1,[32248] python3.8,NVIDIA GeForce RTX 2080 Ti,"   49,    2,    1","  128,    1,    1","234,777",0.17,60.95,31.14,128
433,11,vectorized_elementwise_kernel,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::BUnaryFunctor<at::native::AddFunctor<long>>, at::detail::Array<char *, (int)2>>(int, T2, T3)",[32248] python3.8,NVIDIA GeForce RTX 2080 Ti,"    1,    1,    1","   64,    1,    1","3,080",0.00,0.01,0.67,20
434,13,bn_fw_tr_1C11_singleread,"void cudnn::bn_fw_tr_1C11_singleread<float, (int)512, (bool)1, (int)1, (int)2, (int)0>(cudnnTensorStruct, const T1 *, cudnnTensorStruct, T1 *, const float *, const float *, float, float, float *, float *, float *, float *, float, float, cudnn::reduced_divisor, int, cudnn::reduced_divisor, cudnn::bnFwPersistentState *, int, float, float, float, int, float, float, cudnnStatus_t *, bool)",[32248] python3.8,NVIDIA GeForce RTX 2080 Ti,"  128,    1,    1","  512,    1,    1","24,852",0.02,20.86,31.59,38
435,8,vectorized_elementwise_kernel,"void at::native::vectorized_elementwise_kernel<(int)4, void at::native::threshold_kernel_impl<float>(at::TensorIterator &, T1, T1)::[lambda(float, float) (instance 1)], at::detail::Array<char *, (int)3>>(int, T2, T3)",[32248] python3.8,NVIDIA GeForce RTX 2080 Ti," 3136,    1,    1","   64,    1,    1","11,117",0.01,6.74,67.01,20
